OBJECTID,Código Sector Catastral,Nombre Sector Catastral,Mes,Total Homicidios 2018,Total Homicidios 2019,Total Homicidios 2020,Variación Homicidios 2021-2022 %,Total Homicidios 2022 Bogotá D.C.,Total Lesiones Personales 2018,Total Lesiones Personales 2019,Total Lesiones Personales 2020,Variación Lesiones Personales 2021-2022 %,Total Lesiones Personales 2022 Bogotá D.C.,Total Hurto Personas 2018,Total Hurto Personas 2019,Total Hurto Personas 2020,Variación  Hurto Personas 2021-2022 %,Total Hurto Personas 2022 Bogotá D.C.,Total Hurto Residencias 2018,Total Hurto Residencias 2019,Total Hurto Residencias 2020,Variación  Hurto Residencias 2021-2022 %,Total Hurto Residencias 2022 Bogotá D.C.,Total Hurto Automotores 2018,Total Hurto Automotores 2019,Total Hurto Automotores 2020,Variación  Hurto Automotores 2021-2022 %,Total Hurto Automotores 2022 Bogotá D.C.,Total Hurto Bicicletas 2018,Total Hurto Bicicletas 2019,Total Hurto Bicicletas 2020,Variación  Hurto Bicicletas 2021-2022 %,Total Hurto Bicicletas 2022 Bogotá D.C.,Total Hurto Comercio 2018,Total Hurto Comercio 2019,Total Hurto Comercio 2020,Variación  Hurto Comercio 2021-2022 %,Total Hurto Comercio 2022 Bogotá D.C.,Total Hurto Celulares 2018,Total Hurto Celulares 2019,Total Hurto Celulares 2020,Variación  Hurto Celulares 2021-2022 %,Total Hurto Celulares 2022 Bogotá D.C.,Total Hurto Motocicletas 2018,Total Hurto Motocicletas 2019,Total Hurto Motocicletas 2020,Variación  Hurto Motocicletas 2021-2022 %,Total Hurto Motocicletas 2022 Bogotá D.C.,Total Hurto Entidades Financieras  2018,Total Hurto Entidades Financieras  2019,Total Hurto Entidades Financieras  2020,Variación  Hurto Entidades Financieras  2021-2022 %,Total Hurto Entidades Financieras  2022 Bogotá D.C.,Total Delitos Sexuales 2018,Total Delitos Sexuales 2019,Total Delitos Sexuales 2020,Variación  Delitos Sexuales 2021-2022 %,Total Delitos Sexuales 2022 Bogotá D.C.,Total Violencia intrafamiliar 2018,Total Violencia intrafamiliar 2019,Total Violencia intrafamiliar 2020,Variación  Violencia intrafamiliar 2021-2022 %,Total Violencia intrafamiliar 2022 Bogotá D.C.,Total Homicidios 2021,Total Lesiones Personales 2021,Total Hurto Personas 2021,Total Hurto Residencias 2021,Total Hurto Automotores 2021,Total Hurto Bicicletas 2021,Total Hurto Celulares 2021,Total Hurto Motocicletas 2021,Total Hurto Entidades Financieras  2021,Total Hurto Comercio 2021,Total Delitos Sexuales 2021,Total Violencia intrafamiliar 2021,Total Homicidios 2022,Total Lesiones Personales 2022,Total Hurto Personas 2022,Total Hurto Residencias 2022,Total Hurto Automotores 2022,Total Hurto Bicicletas 2022,Total Hurto Celulares 2022,Total Hurto Motocicletas 2022,Total Hurto Entidades Financieras  2022,Total Hurto Comercio 2022,Total Delitos Sexuales 2022,Total Violencia intrafamiliar 2022,coord_x,coord_y
31,009248,TIBABUYES II,Ene-Abr,1,0,0,0,296,16,6,5,40,"7,760",20,19,29,50,"36,368",6,3,2,33.33,"1,759",1,2,3,100,"1,104",3,3,3,50,"2,805",2,1,3,0,"2,308",17,10,12,22.22,"19,286",0,3,1,-100,"1,552",0,0,0,0,1,6,3,3,-20,"2,196",24,14,25,-47.83,"11,410",0,10,24,3,0,2,18,4,0,2,5,23,0,14,36,4,3,3,22,0,0,2,4,12,"-74,11553516162844","4,756889773202431"
33,004575,LOS LAURELES,Ene-Abr,0,1,0,-100,296,17,7,8,-5.88,"7,760",18,36,23,-33.33,"36,368",3,2,2,300,"1,759",2,2,1,100,"1,104",1,2,4,-71.43,"2,805",1,3,1,0,"2,308",11,10,7,-54.55,"19,286",3,12,5,100,"1,552",0,0,0,0,1,3,5,4,-25,"2,196",29,32,35,-28.57,"11,410",2,17,36,1,1,7,22,2,0,1,4,35,0,16,24,4,2,2,10,4,0,1,3,25,"-74,20280018813551","4,614183558337733"
34,004409,ALQUERIA,Ene-Abr,0,0,0,0,296,17,13,8,0,"7,760",63,65,48,-17.39,"36,368",4,4,2,-60,"1,759",8,10,3,-42.86,"1,104",1,3,4,-33.33,"2,805",4,7,14,-33.33,"2,308",40,25,32,-6,"19,286",6,5,5,-33.33,"1,552",0,0,0,0,1,3,2,0,66.67,"2,196",9,9,13,71.43,"11,410",0,9,92,5,14,6,50,3,0,6,3,7,0,9,76,2,8,4,47,2,0,4,5,12,"-74,13359843868169","4,599340602448513"
36,004615,OSORIO XII,Ene-Abr,2,1,0,0,296,4,1,0,100,"7,760",1,3,2,150,"36,368",0,1,0,0,"1,759",0,0,0,0,"1,104",0,0,1,0,"2,805",0,0,0,0,"2,308",1,1,1,100,"19,286",0,0,0,-100,"1,552",0,0,0,0,1,0,0,0,-100,"2,196",2,1,2,-100,"11,410",0,0,2,0,0,0,0,1,0,0,1,1,0,1,5,0,0,0,3,0,0,0,0,0,"-74,18087177461479","4,642540053591844"
37,004412,REMANSO SUR,Ene-Abr,0,0,0,0,296,8,3,2,550,"7,760",35,49,46,38.10,"36,368",3,2,1,-100,"1,759",6,6,3,300,"1,104",2,2,3,-60,"2,805",7,4,4,-85.71,"2,308",23,25,31,6.45,"19,286",0,1,1,300,"1,552",0,0,0,0,1,1,0,1,-50,"2,196",9,12,7,-75,"11,410",0,2,42,5,1,5,31,1,0,14,4,12,0,13,58,0,4,2,33,4,0,2,2,3,"-74,11651035284892","4,600838646267463"
38,004505,PROVIVIENDA OCCIDENTAL,Ene-Abr,1,0,0,0,296,16,18,13,-7.69,"7,760",76,78,70,-4.29,"36,368",9,13,10,-50,"1,759",7,10,9,-87.50,"1,104",2,5,8,-33.33,"2,805",7,12,9,-40,"2,308",58,38,46,-10,"19,286",5,3,1,0,"1,552",0,0,0,0,1,2,1,1,0,"2,196",29,26,35,-30.77,"11,410",0,13,70,8,8,6,50,4,0,5,2,26,0,12,67,4,1,4,45,4,0,3,2,18,"-74,14442652614422","4,6141150956800905"
39,002101,LA FRAGUITA,Ene-Abr,0,0,0,0,296,11,5,5,0,"7,760",8,30,11,21.43,"36,368",1,2,5,-100,"1,759",3,3,1,100,"1,104",1,1,2,-33.33,"2,805",0,4,2,-66.67,"2,308",9,17,3,-14.29,"19,286",0,1,1,100,"1,552",0,0,0,0,1,1,0,0,100,"2,196",18,3,13,-20,"11,410",0,5,14,4,0,3,7,0,0,3,0,5,0,5,17,0,1,2,6,1,0,1,1,4,"-74,09955045808346","4,593101835135534"
42,004521,LA ESTACION BOSA,Ene-Abr,1,0,1,0,296,10,23,12,8.33,"7,760",27,41,32,-36,"36,368",8,4,0,100,"1,759",0,0,2,-50,"1,104",2,5,6,-37.50,"2,805",4,0,4,-50,"2,308",17,22,11,-44.83,"19,286",3,2,3,100,"1,552",0,0,0,0,1,4,1,1,500,"2,196",32,22,49,-6.67,"11,410",0,12,50,0,2,8,29,1,0,2,1,30,0,13,32,2,1,5,16,2,0,1,6,28,"-74,18716913110023","4,599080349135869"
1,005680,VILLA DEL MAR,Ene-Abr,0,1,0,100,296,11,4,1,150,"7,760",12,18,27,7.69,"36,368",4,4,7,-60,"1,759",2,1,5,-66.67,"1,104",1,2,10,-25,"2,805",2,2,0,-100,"2,308",6,8,12,32.14,"19,286",4,3,3,-16.67,"1,552",0,0,0,0,1,4,3,2,-50,"2,196",11,4,24,-35,"11,410",0,2,52,5,3,16,28,6,0,1,2,20,1,5,56,2,1,12,37,5,0,0,1,13,"-74,12251858052224","4,700465590267713"
2,005660,SAN ANTONIO URBANO,Ene-Abr,0,0,0,0,296,7,1,1,100,"7,760",8,7,9,-25,"36,368",1,2,0,0,"1,759",0,0,4,-100,"1,104",0,3,2,-50,"2,805",0,1,3,-100,"2,308",6,3,3,-50,"19,286",3,2,0,50,"1,552",0,0,0,0,1,0,1,0,-100,"2,196",6,11,13,100,"11,410",0,3,12,1,3,2,6,2,0,1,1,6,0,6,9,1,0,1,3,3,0,0,0,12,"-74,1316841556608","4,702516406924178"
3,005620,FLORENCIA,Ene-Abr,0,0,0,0,296,14,11,20,263.64,"7,760",55,63,52,56.25,"36,368",8,4,9,-62.50,"1,759",4,1,5,50,"1,104",6,7,10,62.50,"2,805",12,12,3,-88.89,"2,308",28,32,24,21.88,"19,286",1,0,0,125,"1,552",0,0,0,0,1,6,3,4,150,"2,196",17,22,24,5.56,"11,410",0,11,64,8,2,8,32,4,0,9,2,18,0,40,100,3,3,13,39,9,0,1,5,19,"-74,10860067918819","4,700115483068841"
5,004545,CATALINA,Ene-Abr,0,1,1,-100,296,12,17,7,45.45,"7,760",25,27,27,-17.24,"36,368",11,5,7,75,"1,759",1,4,3,-25,"1,104",1,3,4,-50,"2,805",1,5,1,50,"2,308",19,10,13,-20,"19,286",4,6,2,250,"1,552",0,0,0,0,1,3,3,5,-66.67,"2,196",28,26,18,7.14,"11,410",1,11,29,4,4,6,15,2,0,2,3,28,0,16,24,7,3,3,12,7,0,3,1,30,"-74,16824017729226","4,6103976667271995"
6,004519,ESCOCIA,Ene-Abr,0,0,0,0,296,8,9,6,10,"7,760",16,23,23,-30.77,"36,368",7,17,5,-100,"1,759",1,3,1,-100,"1,104",2,1,5,-33.33,"2,805",11,6,4,100,"2,308",14,13,12,-37.50,"19,286",5,2,3,20,"1,552",0,0,0,0,1,2,1,4,-20,"2,196",41,34,32,-40.91,"11,410",1,10,39,4,1,3,24,5,0,0,5,22,1,11,27,0,0,2,15,6,0,4,4,13,"-74,18522930330862","4,621053410521975"
7,004507,CIUDAD KENNEDY SUR,Ene-Abr,0,1,0,-100,296,15,12,9,-21.74,"7,760",49,58,34,-8.20,"36,368",8,6,2,100,"1,759",1,3,4,0,"1,104",3,5,8,0,"2,805",14,8,3,-50,"2,308",30,28,13,-30.77,"19,286",4,5,1,66.67,"1,552",0,0,0,-100,1,0,2,5,200,"2,196",20,17,38,3.70,"11,410",2,23,61,2,1,8,26,3,1,4,4,27,0,18,56,4,1,8,18,5,0,2,12,28,"-74,1591432859924","4,6190749752343345"
8,001357,SANTA INES SUR II,Ene-Abr,0,1,0,100,296,13,8,3,50,"7,760",17,19,13,-8.33,"36,368",5,3,3,0,"1,759",0,0,0,-100,"1,104",1,0,0,100,"2,805",2,2,2,0,"2,308",9,13,9,-12.50,"19,286",1,1,2,100,"1,552",0,0,0,0,1,1,0,0,-33.33,"2,196",13,11,21,-29.41,"11,410",0,4,12,1,1,0,8,0,0,0,3,17,1,6,11,1,0,1,7,1,0,0,2,12,"-74,08820807749593","4,561215716986001"
11,005507,NORMANDIA,Ene-Abr,0,0,0,100,296,16,12,7,57.14,"7,760",91,130,89,32.14,"36,368",5,6,8,200,"1,759",3,0,2,50,"1,104",4,9,20,-61.90,"2,805",14,16,10,50,"2,308",56,60,55,-14.29,"19,286",1,1,0,-100,"1,552",0,0,0,0,1,3,1,3,100,"2,196",11,10,17,-70,"11,410",0,7,84,2,2,21,56,1,0,4,2,10,1,11,111,6,3,8,48,0,0,6,4,3,"-74,1065201669762","4,668583607322483"
12,006312,MODELIA OCCIDENTAL,Ene-Abr,0,1,0,0,296,1,4,2,300,"7,760",17,39,46,44.23,"36,368",1,0,6,-40,"1,759",0,0,3,200,"1,104",5,4,3,100,"2,805",0,4,4,-80,"2,308",10,19,23,53.85,"19,286",0,1,1,100,"1,552",0,0,0,0,1,0,1,1,-100,"2,196",2,3,8,-28.57,"11,410",0,1,52,10,1,2,26,0,0,5,3,14,0,4,75,6,3,4,40,1,0,1,0,10,"-74,12529962862861","4,666510655361117"
14,008309,LA CABRERA,Ene-Abr,0,0,0,0,296,11,8,5,33.33,"7,760",117,159,104,145,"36,368",6,3,6,-50,"1,759",2,0,1,-50,"1,104",6,6,2,0,"2,805",14,9,15,-33.33,"2,308",75,82,66,172.50,"19,286",0,0,0,0,"1,552",0,0,0,-100,1,2,0,3,100,"2,196",0,0,1,-93.55,"11,410",0,3,60,4,2,2,40,0,1,9,0,31,0,4,147,2,1,2,109,0,0,6,1,2,"-74,05012272429397","4,6691682825376875"
15,001432,DIANA TURBAY CULTIVOS,Ene-Abr,0,0,1,0,296,2,3,1,100,"7,760",5,2,2,-33.33,"36,368",0,0,1,100,"1,759",0,0,0,100,"1,104",1,0,0,0,"2,805",3,1,0,0,"2,308",6,0,1,100,"19,286",1,0,0,0,"1,552",0,0,0,0,1,0,1,0,0,"2,196",3,10,7,300,"11,410",0,0,3,0,0,0,1,0,0,0,0,1,0,3,2,1,1,0,2,0,0,0,0,4,"-74,10436656762602","4,541655105194936"
16,006406,VILLEMAR,Ene-Abr,0,1,0,100,296,10,10,1,75,"7,760",26,39,24,51.52,"36,368",2,8,3,-50,"1,759",0,1,1,-50,"1,104",1,7,3,150,"2,805",7,7,5,-60,"2,308",17,18,16,52.94,"19,286",1,2,2,-100,"1,552",0,0,0,0,1,0,1,1,100,"2,196",18,15,12,-23.08,"11,410",0,8,33,2,2,4,17,1,0,5,0,13,1,14,50,1,1,10,26,0,0,2,3,10,"-74,1400755779502","4,670605871749778"
17,001115,MONTE CARLO,Ene-Abr,0,0,0,0,296,3,1,1,50,"7,760",0,1,0,0,"36,368",0,0,0,0,"1,759",0,0,1,0,"1,104",0,0,0,0,"2,805",0,1,1,-100,"2,308",0,0,1,-100,"19,286",1,0,0,0,"1,552",0,0,0,0,1,1,0,1,0,"2,196",10,3,4,-33.33,"11,410",0,2,3,0,0,0,2,1,0,1,1,3,0,3,3,0,0,0,0,1,0,0,1,2,"-74,07151226265424","4,569293291037922"
19,101101,EL BAGAZAL,Ene-Abr,0,0,0,0,296,6,2,1,-100,"7,760",20,13,2,-50,"36,368",11,5,0,-100,"1,759",2,1,0,0,"1,104",2,1,1,0,"2,805",10,6,0,0,"2,308",12,5,0,0,"19,286",0,0,1,0,"1,552",0,0,0,0,1,3,0,0,-100,"2,196",4,2,1,-100,"11,410",0,2,2,1,0,0,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,"-74,03717296584693","4,654301877279413"
22,006419,EL REFUGIO,Ene-Abr,0,0,0,0,296,4,12,5,-42.86,"7,760",11,6,8,28.57,"36,368",5,10,3,-83.33,"1,759",1,1,2,0,"1,104",2,2,3,50,"2,805",3,4,2,0,"2,308",6,4,1,-66.67,"19,286",1,3,0,-100,"1,552",0,0,0,0,1,2,3,2,-33.33,"2,196",13,10,11,250,"11,410",0,7,14,6,0,2,6,1,0,2,3,6,0,4,18,1,0,3,2,0,0,2,2,21,"-74,14932579168267","4,691068708068642"
24,005636,ENGATIVA ZONA URBANA,Ene-Abr,0,1,0,100,296,18,14,7,75,"7,760",12,17,21,23.33,"36,368",7,7,7,0,"1,759",0,1,0,0,"1,104",2,1,4,83.33,"2,805",3,6,3,-87.50,"2,308",5,9,11,16.67,"19,286",1,2,2,100,"1,552",0,0,0,0,1,3,5,6,-42.86,"2,196",30,9,23,73.33,"11,410",0,4,30,4,0,6,18,0,0,8,7,15,2,7,37,4,0,11,21,1,0,1,4,26,"-74,140429817597","4,714211770564471"
26,009114,GILMAR,Ene-Abr,0,0,0,0,296,4,4,2,-50,"7,760",31,26,20,60,"36,368",5,4,2,-20,"1,759",2,1,1,33.33,"1,104",8,2,2,100,"2,805",3,3,4,-100,"2,308",13,15,11,0,"19,286",0,0,0,0,"1,552",0,0,0,0,1,5,2,0,-100,"2,196",12,7,12,36.36,"11,410",0,2,25,5,3,3,17,0,0,1,2,11,0,1,40,4,4,6,17,0,0,0,0,15,"-74,064820596186","4,744822223418415"
27,009253,SAN PEDRO,Ene-Abr,0,0,1,0,296,1,0,10,90,"7,760",0,2,25,-18.52,"36,368",0,1,5,-100,"1,759",0,0,1,100,"1,104",0,0,8,66.67,"2,805",0,0,2,-100,"2,308",0,1,11,-44.44,"19,286",0,0,5,-33.33,"1,552",0,0,0,0,1,0,2,0,-25,"2,196",0,0,16,6.67,"11,410",0,10,27,3,0,3,18,3,0,1,4,15,0,19,22,0,1,5,10,2,0,0,3,16,"-74,12002415267952","4,746028034595852"
28,009225,TIBABUYES UNIVERSAL,Ene-Abr,0,0,0,0,296,5,1,3,233.33,"7,760",6,7,10,30.77,"36,368",0,1,0,-100,"1,759",0,0,0,0,"1,104",1,1,1,0,"2,805",1,0,1,0,"2,308",4,3,7,-20,"19,286",1,0,0,0,"1,552",0,0,0,0,1,0,0,1,100,"2,196",3,2,4,14.29,"11,410",0,3,13,1,0,1,10,1,0,0,0,7,0,10,17,0,0,1,8,1,0,0,2,8,"-74,11123425896052","4,745985449262838"
30,008106,BOSQUE IZQUIERDO,Ene-Abr,0,0,0,0,296,0,0,1,50,"7,760",37,28,8,200,"36,368",0,0,0,0,"1,759",0,0,0,0,"1,104",0,0,0,0,"2,805",0,0,1,0,"2,308",34,21,6,100,"19,286",0,0,0,0,"1,552",0,0,0,0,1,0,0,1,0,"2,196",0,0,3,-25,"11,410",1,2,2,0,0,0,1,0,0,0,0,4,1,3,6,0,0,0,2,0,0,0,0,3,"-74,06436324460789","4,609522943355642"
73,006531,CIUDAD TECHO II,Ene-Abr,1,0,0,0,296,18,13,12,-50,"7,760",60,90,55,-3.23,"36,368",16,15,9,-50,"1,759",3,9,10,0,"1,104",6,13,13,50,"2,805",7,11,3,33.33,"2,308",46,38,30,-13.89,"19,286",4,7,10,-12.50,"1,552",0,0,0,0,1,5,2,1,-100,"2,196",19,20,21,83.33,"11,410",0,10,62,6,3,10,36,8,0,3,2,12,0,5,60,3,3,15,31,7,0,4,0,22,"-74,15121478861023","4,64028845394335"
74,005683,QUIRIGUA I,Ene-Abr,0,0,0,0,296,11,9,4,325,"7,760",11,23,7,45.45,"36,368",2,2,1,-50,"1,759",1,1,1,-40,"1,104",0,4,2,-33.33,"2,805",5,5,1,100,"2,308",8,14,2,14.29,"19,286",0,3,2,-50,"1,552",0,0,0,0,1,0,0,3,100,"2,196",11,3,11,-50,"11,410",0,4,22,4,5,3,14,2,0,0,0,8,0,17,32,2,3,2,16,1,0,1,2,4,"-74,10068585853101","4,711938380252975"
75,005308,RIONEGRO,Ene-Abr,0,0,0,0,296,4,7,8,266.67,"7,760",18,26,28,-18.18,"36,368",7,4,0,0,"1,759",1,1,2,0,"1,104",2,0,3,50,"2,805",8,7,4,-80,"2,308",12,10,16,-7.69,"19,286",0,0,1,0,"1,552",0,0,0,0,1,2,2,1,100,"2,196",14,6,14,66.67,"11,410",0,3,33,2,0,2,13,1,0,5,1,3,0,11,27,2,0,3,12,1,0,1,2,5,"-74,0656637183033","4,683011533442186"
77,008410,ESCUELA DE INFANTERIA,Ene-Abr,0,0,0,0,296,5,5,3,200,"7,760",40,26,22,42.86,"36,368",0,3,0,-100,"1,759",0,0,0,0,"1,104",5,2,1,100,"2,805",2,0,1,100,"2,308",23,9,10,-12.50,"19,286",0,0,0,0,"1,552",0,0,0,0,1,0,0,0,0,"2,196",1,1,1,-100,"11,410",0,2,14,1,0,0,8,0,0,0,0,3,0,6,20,0,0,4,7,0,0,1,0,0,"-74,04011531061371","4,684168549338113"
78,005404,LAS FERIAS,Ene-Abr,0,0,0,-100,296,26,12,14,15,"7,760",93,134,83,9.80,"36,368",8,2,8,-33.33,"1,759",0,5,1,-66.67,"1,104",8,7,5,-81.25,"2,805",48,72,37,-60.53,"2,308",51,62,33,17.65,"19,286",4,4,2,-100,"1,552",1,0,0,0,1,1,5,0,-50,"2,196",25,13,12,-43.48,"11,410",1,20,102,6,9,16,51,9,0,38,8,23,0,23,112,4,3,3,60,0,0,15,4,13,"-74,08462659438861","4,683440301377836"
79,008315,CHICO NORTE III SECTOR,Ene-Abr,0,0,0,0,296,11,2,6,100,"7,760",142,225,174,24.09,"36,368",7,11,5,100,"1,759",0,0,0,0,"1,104",8,16,11,88.89,"2,805",21,24,16,-58.82,"2,308",87,122,118,7.14,"19,286",0,1,2,100,"1,552",1,1,0,0,1,6,0,1,100,"2,196",7,0,5,50,"11,410",0,3,137,2,0,9,84,0,0,17,0,2,0,6,170,4,0,17,90,1,0,7,1,3,"-74,0535615455165","4,6833441890921454"
80,005501,PALO BLANCO,Ene-Abr,0,0,0,0,296,5,6,7,-37.50,"7,760",23,23,21,13.64,"36,368",2,3,3,0,"1,759",1,3,0,100,"1,104",3,1,1,-40,"2,805",2,1,2,50,"2,308",22,12,15,28.57,"19,286",0,2,2,0,"1,552",0,0,0,0,1,3,0,1,100,"2,196",10,7,16,400,"11,410",0,8,22,2,0,5,7,0,0,2,3,5,0,5,25,2,2,3,9,0,0,3,6,25,"-74,09436287819193","4,684110599289405"
81,008409,ESCUELA DE CABALLERIA I,Ene-Abr,0,0,0,0,296,0,0,0,0,"7,760",0,1,0,0,"36,368",0,0,0,0,"1,759",0,0,0,0,"1,104",0,0,0,0,"2,805",0,0,0,0,"2,308",0,0,0,0,"19,286",0,0,0,0,"1,552",0,0,0,0,1,0,0,0,0,"2,196",0,0,0,0,"11,410",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-74,03297519100732","4,684784714748278"
82,009207,VILLA ELISA,Ene-Abr,0,1,0,0,296,21,9,29,14.29,"7,760",40,74,67,80.88,"36,368",3,5,5,-85.71,"1,759",1,2,1,66.67,"1,104",3,4,8,28.57,"2,805",12,10,15,-72.73,"2,308",22,46,35,41.46,"19,286",1,2,1,0,"1,552",0,0,0,0,1,3,2,1,100,"2,196",22,7,20,21.43,"11,410",0,28,68,7,3,7,41,3,0,11,4,14,0,32,123,1,5,9,58,3,0,3,8,17,"-74,08847075973179","4,734859721002119"
83,009240,POTRERILLO,Ene-Abr,0,0,0,0,296,0,0,0,200,"7,760",0,0,4,-57.14,"36,368",0,0,2,-100,"1,759",0,0,0,0,"1,104",0,0,1,-100,"2,805",0,0,2,-100,"2,308",0,0,4,-66.67,"19,286",0,0,1,0,"1,552",0,0,0,0,1,0,0,0,100,"2,196",0,0,4,300,"11,410",0,1,7,1,0,2,3,0,0,2,0,1,0,3,3,0,0,0,1,0,0,0,2,4,"-74,09587890089904","4,73641751432977"
85,004597,SAN BERNARDINO I,Ene-Abr,1,0,0,0,296,8,8,4,0,"7,760",13,15,15,-45.95,"36,368",1,7,2,-86.67,"1,759",1,0,5,100,"1,104",0,2,2,-85.71,"2,805",0,4,3,400,"2,308",6,10,11,-21.43,"19,286",2,4,4,66.67,"1,552",0,0,0,0,1,5,4,4,-75,"2,196",31,33,36,-9.52,"11,410",0,11,37,15,0,7,14,3,0,1,4,21,0,11,20,2,1,1,11,5,0,5,1,19,"-74,2053528651762","4,606984591499799"
87,002548,EL VIRREY,Ene-Abr,0,0,0,0,296,15,11,13,33.33,"7,760",16,22,21,46.15,"36,368",3,6,5,-75,"1,759",0,1,1,-100,"1,104",0,0,0,-100,"2,805",3,0,2,0,"2,308",12,13,17,31.25,"19,286",0,5,2,50,"1,552",0,0,0,0,1,4,4,1,-33.33,"2,196",25,22,20,20,"11,410",0,9,26,4,1,1,16,4,0,1,3,15,0,12,38,1,0,0,21,6,0,1,2,18,"-74,11313508854003","4,502521401047799"
88,009201,LOS NARANJOS,Ene-Abr,0,0,0,0,296,12,11,1,75,"7,760",11,17,15,-14.29,"36,368",4,1,2,100,"1,759",0,0,0,-100,"1,104",2,1,1,-50,"2,805",3,2,3,0,"2,308",8,9,6,-10,"19,286",0,0,0,0,"1,552",0,0,0,0,1,2,2,1,200,"2,196",14,12,11,-33.33,"11,410",0,4,14,0,1,2,10,1,0,0,1,18,0,7,12,3,0,1,9,1,0,0,3,12,"-74,08648806789073","4,726455826434413"
89,102310,EL BOSQUE SUR ORIENTAL RURAL I,Ene-Abr,0,0,0,0,296,0,0,0,0,"7,760",0,0,0,0,"36,368",0,0,0,0,"1,759",0,0,0,0,"1,104",0,0,0,0,"2,805",0,0,0,0,"2,308",0,0,0,0,"19,286",0,0,0,0,"1,552",0,0,0,0,1,0,0,0,0,"2,196",0,0,0,0,"11,410",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-74,08585775721943","4,474889047301753"
90,004555,PATIO BONITO II,Ene-Abr,0,1,1,-100,296,30,18,8,40,"7,760",101,123,91,-9.02,"36,368",1,7,3,400,"1,759",1,0,1,100,"1,104",5,16,12,-53.33,"2,805",13,7,5,-50,"2,308",80,59,51,-14.10,"19,286",6,4,3,-50,"1,552",0,0,0,0,1,6,5,1,20,"2,196",18,18,20,-28,"11,410",3,15,122,1,1,15,78,6,0,6,5,25,0,21,111,5,2,7,67,3,0,3,6,18,"-74,16515345762032","4,636308877684016"
91,004305,LA PRADERA,Ene-Abr,0,0,1,0,296,7,12,5,0,"7,760",51,70,51,-2.50,"36,368",0,2,3,0,"1,759",4,3,0,200,"1,104",1,3,8,-12.50,"2,805",7,11,6,-20,"2,308",40,37,27,0,"19,286",2,0,1,66.67,"1,552",0,0,0,0,1,1,0,1,0,"2,196",6,5,1,66.67,"11,410",0,2,40,0,1,8,19,3,0,5,0,3,0,2,39,0,3,7,19,5,0,4,0,5,"-74,1213396745183","4,625888847431485"
93,006423,EL TINTAL CENTRAL,Ene-Abr,0,0,0,0,296,4,11,0,40,"7,760",38,55,36,16.39,"36,368",8,6,4,100,"1,759",1,2,1,300,"1,104",2,5,2,0,"2,805",7,10,2,-50,"2,308",31,24,18,-2.33,"19,286",2,1,1,0,"1,552",0,0,0,0,1,0,3,4,100,"2,196",8,12,8,0,"11,410",0,5,61,2,1,3,43,1,0,2,0,12,0,7,71,4,4,3,42,1,0,1,2,12,"-74,13659448892507","4,665836657246859"
94,005202,DOCE DE OCTUBRE,Ene-Abr,0,0,0,0,296,18,4,11,-46.15,"7,760",78,72,66,5.48,"36,368",2,3,3,0,"1,759",1,3,3,100,"1,104",5,0,3,50,"2,805",7,16,3,20,"2,308",55,42,45,6.38,"19,286",1,0,0,-100,"1,552",0,0,0,0,1,3,1,0,-50,"2,196",10,3,11,6.67,"11,410",0,13,73,3,0,2,47,3,0,5,4,15,0,7,77,3,3,3,50,0,0,6,2,16,"-74,07443028080552","4,669811343275702"
96,001306,SAN PEDRO,Ene-Abr,0,0,0,0,296,7,9,5,0,"7,760",4,6,8,-58.33,"36,368",4,0,2,0,"1,759",0,0,1,0,"1,104",0,0,0,0,"2,805",0,2,2,100,"2,308",1,3,6,-85,"19,286",0,2,1,0,"1,552",0,0,0,0,1,1,2,2,100,"2,196",21,20,9,-13.33,"11,410",0,8,24,1,0,0,20,1,0,1,1,15,0,8,10,1,0,0,3,1,0,2,2,13,"-74,08472482837243","4,563869066829504"
97,101301,HOYA SAN CRISTOBAL,Ene-Abr,0,1,1,0,296,16,20,0,-100,"7,760",6,17,1,0,"36,368",1,2,0,0,"1,759",0,0,0,0,"1,104",0,0,0,100,"2,805",2,5,1,0,"2,308",3,10,0,0,"19,286",0,3,0,-100,"1,552",0,0,0,0,1,0,5,0,-100,"2,196",8,29,3,-81.25,"11,410",0,1,4,0,0,0,1,2,0,0,3,16,0,0,4,0,0,1,1,0,0,0,0,3,"-74,04733640319837","4,55773759430666"
98,001110,SAN JAVIER,Ene-Abr,0,0,0,0,296,2,0,0,-75,"7,760",4,1,4,100,"36,368",1,0,0,100,"1,759",0,0,1,-100,"1,104",1,0,0,100,"2,805",1,1,0,100,"2,308",3,0,2,-50,"19,286",0,0,0,-100,"1,552",0,0,0,0,1,0,0,0,0,"2,196",2,8,3,100,"11,410",0,4,3,0,1,0,2,1,0,0,0,0,0,1,6,1,0,1,1,0,0,1,0,1,"-74,08444247313022","4,579695704110198"
