OBJECTID,Código Sector Catastral,Nombre Sector Catastral,Mes,Total Homicidios 2018,Total Homicidios 2019,Total Homicidios 2020,Variación Homicidios 2021-2022 %,Total Homicidios 2022 Bogotá D.C.,Total Lesiones Personales 2018,Total Lesiones Personales 2019,Total Lesiones Personales 2020,Variación Lesiones Personales 2021-2022 %,Total Lesiones Personales 2022 Bogotá D.C.,Total Hurto Personas 2018,Total Hurto Personas 2019,Total Hurto Personas 2020,Variación  Hurto Personas 2021-2022 %,Total Hurto Personas 2022 Bogotá D.C.,Total Hurto Residencias 2018,Total Hurto Residencias 2019,Total Hurto Residencias 2020,Variación  Hurto Residencias 2021-2022 %,Total Hurto Residencias 2022 Bogotá D.C.,Total Hurto Automotores 2018,Total Hurto Automotores 2019,Total Hurto Automotores 2020,Variación  Hurto Automotores 2021-2022 %,Total Hurto Automotores 2022 Bogotá D.C.,Total Hurto Bicicletas 2018,Total Hurto Bicicletas 2019,Total Hurto Bicicletas 2020,Variación  Hurto Bicicletas 2021-2022 %,Total Hurto Bicicletas 2022 Bogotá D.C.,Total Hurto Comercio 2018,Total Hurto Comercio 2019,Total Hurto Comercio 2020,Variación  Hurto Comercio 2021-2022 %,Total Hurto Comercio 2022 Bogotá D.C.,Total Hurto Celulares 2018,Total Hurto Celulares 2019,Total Hurto Celulares 2020,Variación  Hurto Celulares 2021-2022 %,Total Hurto Celulares 2022 Bogotá D.C.,Total Hurto Motocicletas 2018,Total Hurto Motocicletas 2019,Total Hurto Motocicletas 2020,Variación  Hurto Motocicletas 2021-2022 %,Total Hurto Motocicletas 2022 Bogotá D.C.,Total Hurto Entidades Financieras  2018,Total Hurto Entidades Financieras  2019,Total Hurto Entidades Financieras  2020,Variación  Hurto Entidades Financieras  2021-2022 %,Total Hurto Entidades Financieras  2022 Bogotá D.C.,Total Delitos Sexuales 2018,Total Delitos Sexuales 2019,Total Delitos Sexuales 2020,Variación  Delitos Sexuales 2021-2022 %,Total Delitos Sexuales 2022 Bogotá D.C.,Total Violencia intrafamiliar 2018,Total Violencia intrafamiliar 2019,Total Violencia intrafamiliar 2020,Variación  Violencia intrafamiliar 2021-2022 %,Total Violencia intrafamiliar 2022 Bogotá D.C.,Total Homicidios 2021,Total Lesiones Personales 2021,Total Hurto Personas 2021,Total Hurto Residencias 2021,Total Hurto Automotores 2021,Total Hurto Bicicletas 2021,Total Hurto Celulares 2021,Total Hurto Motocicletas 2021,Total Hurto Entidades Financieras  2021,Total Hurto Comercio 2021,Total Delitos Sexuales 2021,Total Violencia intrafamiliar 2021,Total Homicidios 2022,Total Lesiones Personales 2022,Total Hurto Personas 2022,Total Hurto Residencias 2022,Total Hurto Automotores 2022,Total Hurto Bicicletas 2022,Total Hurto Celulares 2022,Total Hurto Motocicletas 2022,Total Hurto Entidades Financieras  2022,Total Hurto Comercio 2022,Total Delitos Sexuales 2022,Total Violencia intrafamiliar 2022,coord_x,coord_y
192,002540,ESTRELLA DEL SUR,Ene-Abr,0,2,0,-100,296,17,23,4,0,"7,760",16,14,16,-37.50,"36,368",4,2,1,100,"1,759",0,1,1,200,"1,104",0,0,0,0,"2,805",3,2,3,-75,"2,308",12,10,11,-58.82,"19,286",1,3,0,-75,"1,552",0,0,0,0,1,6,3,3,200,"2,196",26,9,16,37.50,"11,410",2,10,24,0,1,0,17,4,0,4,1,16,0,10,15,1,3,0,7,1,0,1,3,22,"-74,14471494779568","4,544770637054497"
779,005111,LA ESMERALDA,Ene-Abr,0,0,0,0,296,8,7,3,-75,"7,760",46,37,24,51.72,"36,368",3,4,6,100,"1,759",1,1,0,0,"1,104",5,5,6,66.67,"2,805",9,11,1,0,"2,308",17,11,13,90,"19,286",0,0,0,0,"1,552",0,0,0,0,1,0,0,1,100,"2,196",4,2,4,-90,"11,410",0,4,29,0,0,3,10,0,0,5,0,10,0,1,44,2,0,5,19,0,0,5,1,1,"-74,0908063268442","4,647263440416426"
988,003208,EL ROCIO,Ene-Abr,1,1,0,0,296,25,8,4,-13.33,"7,760",8,8,12,-28.57,"36,368",1,3,0,200,"1,759",0,0,0,100,"1,104",1,0,0,-100,"2,805",2,2,1,-100,"2,308",3,3,8,-63.64,"19,286",0,2,1,-100,"1,552",0,0,0,0,1,1,3,2,0,"2,196",15,13,26,-29.17,"11,410",0,15,14,1,0,1,11,4,0,1,3,24,0,13,10,3,2,0,4,0,0,0,3,17,"-74,07005434478101","4,5827769983591"
989,003207,LOS LACHES,Ene-Abr,0,0,0,-100,296,9,11,6,-52.94,"7,760",12,14,7,-27.27,"36,368",4,0,1,-100,"1,759",2,0,1,0,"1,104",0,0,0,-50,"2,805",2,0,1,-100,"2,308",5,11,0,-50,"19,286",2,1,0,0,"1,552",0,0,0,0,1,0,1,1,0,"2,196",8,2,12,-36.84,"11,410",1,17,11,1,0,2,6,0,0,1,0,19,0,8,8,0,0,1,3,0,0,0,0,12,"-74,0680231997833","4,585758395855369"
990,008520,BOSQUE DE PINOS,Ene-Abr,2,1,1,-100,296,12,12,9,-80,"7,760",8,7,8,-30.77,"36,368",1,1,1,100,"1,759",0,0,1,0,"1,104",0,0,0,-100,"2,805",4,6,2,-50,"2,308",4,3,9,-50,"19,286",1,0,1,-100,"1,552",0,0,0,0,1,2,2,3,25,"2,196",27,18,12,64.29,"11,410",2,20,13,0,2,1,4,1,0,2,4,14,0,4,9,2,2,0,2,0,0,1,5,23,"-74,0190820419099","4,733867828987947"
1072,008215,INGEMAR,Ene-Abr,0,0,0,0,296,3,0,1,0,"7,760",5,9,7,-61.54,"36,368",1,1,1,100,"1,759",1,0,0,0,"1,104",0,1,2,-100,"2,805",3,0,0,0,"2,308",4,6,3,-66.67,"19,286",0,0,1,100,"1,552",0,0,0,0,1,0,0,1,0,"2,196",3,4,2,100,"11,410",0,1,13,1,0,2,6,0,0,1,0,1,0,1,5,2,0,0,2,1,0,1,0,2,"-74,05788263753956","4,640354428286047"
1073,002309,VILLA MAYOR ORIENTAL,Ene-Abr,0,0,0,0,296,14,12,4,57.14,"7,760",60,93,89,18.07,"36,368",2,2,1,-100,"1,759",2,2,7,-100,"1,104",7,5,11,-42.86,"2,805",140,123,99,-19.35,"2,308",54,51,39,20.51,"19,286",0,1,4,0,"1,552",0,0,0,0,1,0,3,0,466.67,"2,196",5,17,9,136.36,"11,410",0,7,83,2,4,14,39,3,0,62,3,11,0,11,98,0,0,8,47,3,0,50,17,26,"-74,12269517942178","4,591990110427509"
1074,008539,TORCA I,Ene-Abr,0,0,1,0,296,3,5,0,100,"7,760",153,27,19,-44.44,"36,368",1,2,0,0,"1,759",0,0,0,-100,"1,104",0,1,2,-100,"2,805",9,20,1,-100,"2,308",138,13,11,-60,"19,286",0,0,0,0,"1,552",0,0,0,0,1,0,0,0,100,"2,196",0,0,0,0,"11,410",0,0,9,0,1,4,5,0,0,2,0,0,0,4,5,0,0,0,2,0,0,0,1,0,"-74,03526173198183","4,8003071404170825"
1075,002538,USMINIA,Ene-Abr,0,1,0,0,296,7,6,11,-33.33,"7,760",1,2,8,180,"36,368",0,1,2,20,"1,759",0,0,0,0,"1,104",0,0,0,0,"2,805",2,2,1,-100,"2,308",0,1,1,71.43,"19,286",0,0,0,100,"1,552",0,0,0,0,1,0,2,3,0,"2,196",5,11,21,14.29,"11,410",0,12,10,5,0,0,7,0,0,7,4,21,0,8,28,6,0,0,12,1,0,0,4,24,"-74,11627502572492","4,494308315051493"
1076,004590,SAN BERNARDINO XXV URBANO,Ene-Abr,0,0,0,0,296,0,0,0,0,"7,760",0,0,0,0,"36,368",0,0,0,0,"1,759",0,0,1,-100,"1,104",0,0,0,0,"2,805",0,0,0,0,"2,308",0,0,0,0,"19,286",0,0,0,0,"1,552",0,0,0,0,1,0,0,1,0,"2,196",0,0,0,-100,"11,410",0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"-74,21847628209578","4,623507841722424"
